,0,1,2,3
941,gabizinha,@gabturquetti,2009-06-18T12:59:17.000Z,hmmm sunday now
942,gabizinha,@gabturquetti,2009-06-18T12:57:10.000Z,let's start with saturday
943,gabizinha,@gabturquetti,2009-06-18T12:56:58.000Z,vamos começar por sábado hmmm
944,gabizinha,@gabturquetti,2009-06-18T12:54:09.000Z,"se mamãe não faz a minha lição comigo, eu faço sozinha HM"
945,gabizinha,@gabturquetti,2009-06-18T12:52:45.000Z,"morning! woke up early for english class, ate my breakfast, wash the dishes and i'm here now"
946,gabizinha,@gabturquetti,2009-06-18T12:49:54.000Z,"Em resposta a 
@TomFletcher@tommcfly
 my dream is wear a green jeans D:"
947,gabizinha,@gabturquetti,2009-06-18T02:00:06.000Z,hmm watching some vids of avril
948,gabizinha,@gabturquetti,2009-06-18T01:29:04.000Z,atoron um biscoitinho
949,gabizinha,@gabturquetti,2009-06-18T01:27:28.000Z,"Em resposta a 
@gabjastrenski@intojellybeans  oi gatinha q"
950,gabizinha,@gabturquetti,2009-06-18T01:03:41.000Z,pensando em julho HMM
951,gabizinha,@gabturquetti,2009-06-18T01:00:34.000Z,"i'm back, listen to mcfly, and i'm bored"
952,gabizinha,@gabturquetti,2009-06-17T15:48:29.000Z,"my stomach is sick today D: ok, i'll come to school now, xX"
953,gabizinha,@gabturquetti,2009-06-17T15:48:01.000Z,"well, i"
954,gabizinha,@gabturquetti,2009-06-17T13:30:46.000Z,"Em resposta a 
@MrsGiFletcher@gfalcone601
 the most beautiful cat I ever saw! i loved, i just dont have any cats because i'm alergic D:"
955,gabizinha,@gabturquetti,2009-06-17T13:28:42.000Z,"Em resposta a 
@TomFletcher@tommcfly
 HEY TOM!"
956,gabizinha,@gabturquetti,2009-06-17T12:50:29.000Z,pêra quer dizer
957,gabizinha,@gabturquetti,2009-06-17T12:50:17.000Z,"esses aparelhos de hoje em dia, não me deixam nem comer uma maça direito D:"
958,gabizinha,@gabturquetti,2009-06-17T12:23:38.000Z,"i have to study! portuguese and arts ._. WELLLLLL, LETS GO!"
959,gabizinha,@gabturquetti,2009-06-17T03:39:48.000Z,"WEEEEEEEELL 800 UPDATES, GOOD NIGHT FOLLOWERS (L)"
960,gabizinha,@gabturquetti,2009-06-17T03:39:24.000Z,eu sou uma coruja q
961,gabizinha,@gabturquetti,2009-06-17T03:39:13.000Z,MORE THAN 5 HOURS IN TOTAL
962,gabizinha,@gabturquetti,2009-06-17T03:38:58.000Z,"hmmmmmmmmmm i dont know how i can sleep now, i sleeped ALL THE DAY"
963,gabizinha,@gabturquetti,2009-06-17T03:37:49.000Z,"i'll sleep, i'm tired, i have to study, and my bed is calling me"
964,gabizinha,@gabturquetti,2009-06-17T03:37:21.000Z,"SO, JUST MORE 5 TWEETS FOR 800 UPDATES!"
965,gabizinha,@gabturquetti,2009-06-16T20:40:26.000Z,postando no blog
966,gabizinha,@gabturquetti,2009-06-16T20:28:02.000Z,and i've got new erasers and a new notpad
967,gabizinha,@gabturquetti,2009-06-18T02:00:06.000Z,hmm watching some vids of avril
968,gabizinha,@gabturquetti,2009-06-18T01:29:04.000Z,atoron um biscoitinho
969,gabizinha,@gabturquetti,2009-06-18T01:27:28.000Z,"Em resposta a 
@gabjastrenski@intojellybeans  oi gatinha q"
970,gabizinha,@gabturquetti,2009-06-18T01:03:41.000Z,pensando em julho HMM
971,gabizinha,@gabturquetti,2009-06-18T01:00:34.000Z,"i'm back, listen to mcfly, and i'm bored"
972,gabizinha,@gabturquetti,2009-06-17T15:48:29.000Z,"my stomach is sick today D: ok, i'll come to school now, xX"
973,gabizinha,@gabturquetti,2009-06-17T15:48:01.000Z,"well, i"
974,gabizinha,@gabturquetti,2009-06-17T13:30:46.000Z,"Em resposta a 
@MrsGiFletcher@gfalcone601
 the most beautiful cat I ever saw! i loved, i just dont have any cats because i'm alergic D:"
975,gabizinha,@gabturquetti,2009-06-17T13:28:42.000Z,"Em resposta a 
@TomFletcher@tommcfly
 HEY TOM!"
976,gabizinha,@gabturquetti,2009-06-17T12:50:29.000Z,pêra quer dizer
977,gabizinha,@gabturquetti,2009-06-17T12:50:17.000Z,"esses aparelhos de hoje em dia, não me deixam nem comer uma maça direito D:"
978,gabizinha,@gabturquetti,2009-06-17T12:23:38.000Z,"i have to study! portuguese and arts ._. WELLLLLL, LETS GO!"
979,gabizinha,@gabturquetti,2009-06-17T03:39:48.000Z,"WEEEEEEEELL 800 UPDATES, GOOD NIGHT FOLLOWERS (L)"
980,gabizinha,@gabturquetti,2009-06-17T03:39:24.000Z,eu sou uma coruja q
981,gabizinha,@gabturquetti,2009-06-17T03:39:13.000Z,MORE THAN 5 HOURS IN TOTAL
982,gabizinha,@gabturquetti,2009-06-17T03:38:58.000Z,"hmmmmmmmmmm i dont know how i can sleep now, i sleeped ALL THE DAY"
