,endTime,artistName,trackName,minutedPlayed
117,2020-07-22 21:26:00,Arnaldo Antunes,De Outra Galáxia,3.5491
118,2020-07-22 21:28:00,Marisa Monte,Acontecimento - Ao Vivo,2.59735
119,2020-07-22 21:59:00,Silva,Bem Que Se Quis - Ao Vivo,3.9010166666666666
120,2020-07-23 01:31:00,Supercombo,Bonsai,1.24
121,2020-07-23 01:32:00,Cássia Eller,Relicário - Ao Vivo,0.3132
122,2020-07-23 01:33:00,Cássia Eller,Relicário - Ao Vivo,0.5632666666666667
123,2020-07-23 01:38:00,Tiago Iorc,Tangerina - Ao Vivo,4.6839
124,2020-07-23 01:41:00,Rodrigo Alarcon,Frágil Coração,3.6056
125,2020-07-23 01:45:00,Jorge Vercillo,Linda Flor,4.020833333333333
126,2020-07-23 01:49:00,Fernanda Takai,O Amor Em Tempos de Cólera,3.8097666666666665
127,2020-07-23 01:54:00,Tiago Iorc,Você Pra Sempre Em Mim,4.685333333333333
128,2020-07-23 01:58:00,Tim Bernardes,Só Nós Dois,3.800133333333333
129,2020-07-23 21:59:00,Milton Nascimento,Não Existe Amor em SP,2.3038833333333333
130,2020-07-24 03:16:00,Marvin Gaye,Ain't No Mountain High Enough,2.5277666666666665
131,2020-07-24 03:20:00,Anberlin,Impossible,4.05955
132,2020-07-24 03:24:00,Parkway Drive,A Deathless Song (feat. Jenna McDougall),4.010516666666667
133,2020-07-24 03:26:00,Дрыгва,Вясна,2.1177333333333332
134,2020-07-24 03:27:00,Nightwish,Sleeping Sun,0.51895
135,2020-07-24 03:29:00,Дрыгва,Святочная,1.7614166666666666
136,2020-07-24 15:39:00,Red Handed Denial,Solace,4.079483333333333
137,2020-07-25 16:18:00,Djavan,Flor de Lis,3.7544333333333335
138,2020-07-25 16:21:00,Gilberto Gil,Copo Vazio,3.2200333333333333
139,2020-07-25 16:24:00,Caetano Veloso,Reconvexo - Ao Vivo,3.3340833333333335
140,2020-07-25 16:28:00,Cássia Eller,Relicário - Ao Vivo,4.1082
141,2020-07-25 16:32:00,Geraldo Azevedo,Dia Branco - Ao Vivo | Bonus Track,4.018533333333333
142,2020-07-25 16:36:00,Marisa Monte,Amor I Love You (feat. Arnaldo Antunes) - Ao Vivo,3.347
143,2020-07-25 16:38:00,Adriana Calcanhotto,Devolva-Me (Ao Vivo),2.1904333333333335
144,2020-07-25 16:40:00,João Gilberto,Chega De Saudade,2.0077666666666665
145,2020-07-25 16:43:00,Chico Buarque,Futuros Amantes,3.5128833333333334
146,2020-07-25 16:48:00,Elis Regina,Como Nossos Pais,4.36
147,2020-07-25 16:51:00,Ney Matogrosso,Sorte,3.07615
148,2020-07-25 16:55:00,Gal Costa,Chuva de Prata - Ao Vivo,3.8310666666666666
149,2020-07-25 16:59:00,Lenine,Paciência,3.8595333333333333
150,2020-07-25 17:03:00,Gilberto Gil,Se Eu Quiser Falar Com Deus,4.598033333333333
151,2020-07-25 17:08:00,Tim Maia,Bom-Senso,5.094883333333334
152,2020-07-25 17:12:00,Gal Costa,O Que É Que Há,3.7618833333333335
153,2020-07-25 17:13:00,Milton Nascimento,Clube Da Esquina Nº2 - Acústico,1.1921166666666667
154,2020-07-25 17:17:00,Novos Baianos,Acabou Chorare,4.21955
155,2020-07-25 17:18:00,Belchior,Sujeito De Sorte,0.10776666666666666
156,2020-07-25 17:24:00,Novos Baianos,Anos 70 - Ao Vivo,5.206883333333334
157,2020-07-25 17:28:00,Novos Baianos,Infinito Circular - Ao Vivo,4.464666666666667
158,2020-07-25 17:32:00,Novos Baianos,Dê um Rolê - Ao Vivo,4.204433333333333
159,2020-07-25 17:37:00,Novos Baianos,A Menina Dança - Ao Vivo,4.544433333333333
160,2020-07-25 17:43:00,Novos Baianos,Preta Pretinha - Ao Vivo,6.211766666666667
161,2020-07-25 17:46:00,Novos Baianos,Colégio de Aplicação - Ao Vivo,3.0808833333333334
162,2020-07-25 17:50:00,Novos Baianos,O Samba da Minha Terra - Ao Vivo,3.6093333333333333
163,2020-07-25 17:54:00,Novos Baianos,Tinindo Trincando - Ao Vivo,3.9388833333333335
164,2020-07-25 17:57:00,Novos Baianos,Swing do Campo Grande - Ao Vivo,3.5151
165,2020-07-25 18:01:00,Novos Baianos,Na Cadência do Samba - Ao Vivo,3.4542166666666665
166,2020-07-25 18:06:00,Novos Baianos,Pot-Pourri: Um Bilhete Pra Didi / Forró de Baixo - Ao Vivo,5.27955
167,2020-07-25 18:08:00,Novos Baianos,Amar-Te - Ao Vivo,1.88955
168,2020-07-25 18:12:00,Novos Baianos,Chega de Saudade - Ao Vivo,3.958666666666667
169,2020-07-25 18:17:00,Novos Baianos,Na Baixa do Sapateiro - Ao Vivo,5.193766666666667
170,2020-07-25 18:22:00,Novos Baianos,Farol da Barra - Ao Vivo,4.738433333333333
171,2020-07-25 18:25:00,Novos Baianos,Isto Aqui o Que É? - Ao Vivo,3.3277666666666668
172,2020-07-25 18:30:00,Novos Baianos,Acabou Chorare - Ao Vivo,5.022216666666667
173,2020-07-25 18:34:00,Novos Baianos,Sugestão Geral - Ao Vivo,3.4804333333333335
174,2020-07-25 18:39:00,Novos Baianos,Mistério do Planeta - Ao Vivo,5.2111
175,2020-07-25 18:45:00,Novos Baianos,Brasileirinho - Ao Vivo,6.1891
176,2020-07-25 18:49:00,Novos Baianos,Besta É Tu - Ao Vivo,4.186216666666667
177,2020-07-25 18:53:00,Novos Baianos,Brasil Pandeiro - Ao Vivo,4.137166666666666
178,2020-07-25 18:56:00,Novos Baianos,Curto de Véu e Grinalda,2.4673333333333334
179,2020-07-25 19:00:00,Arnaldo Antunes,A Casa é Sua,4.3453333333333335
180,2020-07-26 12:18:00,Cartola,O Sol Nascerá (A Sorrir),1.2771666666666666
181,2020-07-26 22:27:00,Djavan,Flor de Lis,0.2714666666666667
182,2020-07-26 22:30:00,Rodrigo Alarcon,Frágil Coração,3.6056
183,2020-07-26 22:35:00,Tiago Iorc,Tangerina - Ao Vivo,4.6839
184,2020-07-26 22:39:00,Jorge Vercillo,Linda Flor,4.020833333333333
185,2020-07-26 22:42:00,Castello Branco,Toda Toda,2.8476833333333333
186,2020-07-26 22:46:00,Fernanda Takai,O Amor Em Tempos de Cólera,3.8097666666666665
187,2020-07-26 22:50:00,Tiago Iorc,Você Pra Sempre Em Mim,4.685333333333333
188,2020-07-26 22:54:00,Tim Bernardes,Só Nós Dois,3.800133333333333
189,2020-07-26 23:00:00,Milton Nascimento,Não Existe Amor em SP,5.797283333333334
190,2020-07-26 23:04:00,Rubel,Você Me Pergunta,3.9156333333333335
191,2020-07-26 23:07:00,Gilberto Gil,Copo Vazio,3.2200333333333333
192,2020-07-26 23:10:00,Ana Gabriela,Amor Traduz,3.14205
193,2020-07-26 23:13:00,Illy,Me Deixas Louca,2.7980833333333335
194,2020-07-26 23:17:00,Fióti,Quando for falar de amor,3.55355
195,2020-07-26 23:21:00,Dani Black,Ser Amado - Ao Vivo,4.073933333333334
196,2020-07-26 23:24:00,Diogo Nogueira,Coisa Boa,3.0321166666666666
197,2020-07-26 23:26:00,Teresa Cristina,Gema (342 Amazônia ao Vivo no Circo Voador),2.4303833333333333
198,2020-07-26 23:32:00,Seu Jorge,Saravá,5.539383333333333
199,2020-07-26 23:35:00,Arnaldo Antunes,De Outra Galáxia,3.5491
200,2020-07-26 23:38:00,Marisa Monte,Acontecimento - Ao Vivo,2.59735
201,2020-07-26 23:42:00,Silva,Bem Que Se Quis - Ao Vivo,4.26925
202,2020-07-26 23:47:00,Rubel,Partilhar,4.375866666666667
